make,model,year,vehicle_class,class_simple,engine_displacement_l,cylinders,displacement_per_cyl,fuel_type,fuel_simple,fuel_enc,city_mpg,highway_mpg,combined_mpg,hwy_city_ratio,co2_grams_per_mile,co2_per_mpg,cd,aero_efficiency,year_rel
Mazda,6,2010,Midsize Cars,Midsize,2.5,4.0,0.625,Regular,regular,3,20,29,23,1.45,,,,,0
Mazda,6,2010,Midsize Cars,Midsize,3.7,6.0,0.6166666666666667,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Mazda,6,2010,Midsize Cars,Midsize,2.5,4.0,0.625,Regular,regular,3,21,30,24,1.4285714285714286,,,,,0
Rolls-Royce,Phantom,2010,Midsize Cars,Midsize,6.7,12.0,0.5583333333333333,Premium,premium,2,11,18,14,1.6363636363636365,,,,,0
Saturn,Aura,2010,Midsize Cars,Midsize,2.4,4.0,0.6,Regular,regular,3,22,33,26,1.5,,,,,0
Saturn,Aura,2010,Midsize Cars,Midsize,3.6,6.0,0.6,Regular,regular,3,17,26,20,1.5294117647058822,,,,,0
Subaru,Legacy AWD,2010,Midsize Cars,Midsize,2.5,4.0,0.625,Regular,regular,3,19,27,22,1.4210526315789473,,,,,0
Subaru,Legacy AWD,2010,Midsize Cars,Midsize,3.6,6.0,0.6,Regular,regular,3,18,25,20,1.3888888888888888,,,,,0
Subaru,Legacy AWD,2010,Midsize Cars,Midsize,2.5,4.0,0.625,Premium,premium,2,18,25,21,1.3888888888888888,,,,,0
Subaru,Legacy AWD,2010,Midsize Cars,Midsize,2.5,4.0,0.625,Regular,regular,3,23,31,26,1.3478260869565217,,,,,0
Volkswagen,Passat,2010,Midsize Cars,Midsize,2.0,4.0,0.5,Premium,premium,2,22,31,25,1.4090909090909092,,,,,0
Volvo,S80 AWD,2010,Midsize Cars,Midsize,4.4,8.0,0.55,Regular,regular,3,15,22,18,1.4666666666666666,,,,,0
Volvo,S80 AWD,2010,Midsize Cars,Midsize,3.0,6.0,0.5,Regular,regular,3,16,24,19,1.5,,,,,0
Volvo,S80 FWD,2010,Midsize Cars,Midsize,3.2,6.0,0.5333333333333333,Regular,regular,3,18,27,21,1.5,,,,,0
Buick,Lucerne,2010,Large Cars,Large,4.6,8.0,0.575,Regular,regular,3,15,22,18,1.4666666666666666,,,,,0
Buick,Lucerne,2010,Large Cars,Large,3.9,6.0,0.65,Regular,regular,3,17,26,20,1.5294117647058822,,,,,0
Cadillac,DTS,2010,Large Cars,Large,4.6,8.0,0.575,Regular,regular,3,15,22,18,1.4666666666666666,,,,,0
Cadillac,DTS,2010,Large Cars,Large,4.6,8.0,0.575,Regular,regular,3,15,23,18,1.5333333333333334,,,,,0
Cadillac,Funeral Coach / Hearse,2010,Large Cars,Large,4.6,8.0,0.575,Regular,regular,3,12,16,14,1.3333333333333333,,,,,0
Cadillac,Limousine,2010,Large Cars,Large,4.6,8.0,0.575,Regular,regular,3,12,18,14,1.5,,,,,0
Chevrolet,Impala,2010,Large Cars,Large,3.5,6.0,0.5833333333333334,Regular,regular,3,18,29,22,1.6111111111111112,,,,,0
Chrysler,300 AWD,2010,Large Cars,Large,5.7,8.0,0.7125,Regular,regular,3,16,23,18,1.4375,,,,,0
Chrysler,300/SRT-8,2010,Large Cars,Large,5.7,8.0,0.7125,Regular,regular,3,16,25,19,1.5625,,,,,0
Dodge,Charger,2010,Large Cars,Large,5.7,8.0,0.7125,Regular,regular,3,16,25,19,1.5625,,,,,0
Dodge,Charger,2010,Large Cars,Large,6.1,8.0,0.7625,Premium,premium,2,13,19,15,1.4615384615384615,,,,,0
Dodge,Charger AWD,2010,Large Cars,Large,5.7,8.0,0.7125,Regular,regular,3,16,23,18,1.4375,,,,,0
Ford,Taurus AWD,2010,Large Cars,Large,3.5,6.0,0.5833333333333334,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Ford,Taurus AWD,2010,Large Cars,Large,3.5,6.0,0.5833333333333334,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Ford,Taurus FWD,2010,Large Cars,Large,3.5,6.0,0.5833333333333334,Regular,regular,3,18,28,22,1.5555555555555556,,,,,0
Ford,Taurus FWD,2010,Large Cars,Large,3.5,6.0,0.5833333333333334,Regular,regular,3,18,27,21,1.5,,,,,0
Hyundai,Azera,2010,Large Cars,Large,3.3,6.0,0.5499999999999999,Regular,regular,3,18,26,21,1.4444444444444444,,,,,0
Hyundai,Azera,2010,Large Cars,Large,3.8,6.0,0.6333333333333333,Regular,regular,3,17,26,20,1.5294117647058822,,,,,0
Hyundai,Genesis,2010,Large Cars,Large,4.6,8.0,0.575,Premium,premium,2,17,25,19,1.4705882352941178,,,,,0
Hyundai,Genesis,2010,Large Cars,Large,3.8,6.0,0.6333333333333333,Regular,regular,3,18,27,21,1.5,,,,,0
Lincoln,MKS AWD,2010,Large Cars,Large,3.5,6.0,0.5833333333333334,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Rolls-Royce,Phantom EWB,2010,Large Cars,Large,6.7,12.0,0.5583333333333333,Premium,premium,2,11,18,14,1.6363636363636365,,,,,0
Audi,A3,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Premium,premium,2,21,30,24,1.4285714285714286,,,,,0
Audi,A3,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Premium,premium,2,22,28,24,1.2727272727272727,,,,,0
Audi,A3 quattro,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Premium,premium,2,21,28,24,1.3333333333333333,,,,,0
Audi,A4 Avant quattro,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Premium,premium,2,21,27,23,1.2857142857142858,,,,,0
Dodge,Caliber,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Regular,regular,3,23,31,26,1.3478260869565217,,,,,0
Hyundai,Elantra Touring,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Regular,regular,3,23,31,26,1.3478260869565217,,,,,0
Hyundai,Elantra Touring,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Regular,regular,3,23,30,26,1.3043478260869565,,,,,0
Mitsubishi,Lancer Sportback,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Premium,premium,2,17,25,20,1.4705882352941178,,,,,0
